"Step","clear-butterfly-13 - kl_loss","clear-butterfly-13 - kl_loss__MIN","clear-butterfly-13 - kl_loss__MAX","ruby-dream-12 - kl_loss","ruby-dream-12 - kl_loss__MIN","ruby-dream-12 - kl_loss__MAX","fanciful-haze-11 - kl_loss","fanciful-haze-11 - kl_loss__MIN","fanciful-haze-11 - kl_loss__MAX","eager-dream-10 - kl_loss","eager-dream-10 - kl_loss__MIN","eager-dream-10 - kl_loss__MAX"
"0","206.37597159886673","206.37597159886673","206.37597159886673","208.754363513192","208.754363513192","208.754363513192","207.24150134357723","207.24150134357723","207.24150134357723","158.1396162963056","158.1396162963056","158.1396162963056"
"1","35.24110960047296","35.24110960047296","35.24110960047296","56.42825092559165","56.42825092559165","56.42825092559165","71.96564413030097","71.96564413030097","71.96564413030097","117.80100052204538","117.80100052204538","117.80100052204538"
"2","20.487949907018784","20.487949907018784","20.487949907018784","38.04514169895903","38.04514169895903","38.04514169895903","53.11976358129623","53.11976358129623","53.11976358129623","100.85034716991667","100.85034716991667","100.85034716991667"
"3","15.615308781887622","15.615308781887622","15.615308781887622","30.58866181475051","30.58866181475051","30.58866181475051","43.89227598474381","43.89227598474381","43.89227598474381","92.797929528419","92.797929528419","92.797929528419"
"4","12.996209321123489","12.996209321123489","12.996209321123489","25.575867251132397","25.575867251132397","25.575867251132397","37.959138991984915","37.959138991984915","37.959138991984915","86.06893557284741","86.06893557284741","86.06893557284741"
"5","11.216422929155065","11.216422929155065","11.216422929155065","21.93997237428706","21.93997237428706","21.93997237428706","33.174080942032184","33.174080942032184","33.174080942032184","80.69553151232131","80.69553151232131","80.69553151232131"
"6","9.850213572319518","9.850213572319518","9.850213572319518","19.370978935728683","19.370978935728683","19.370978935728683","29.46819442180877","29.46819442180877","29.46819442180877","76.52588880823014","76.52588880823014","76.52588880823014"
"7","8.807573662412928","8.807573662412928","8.807573662412928","17.399265386703167","17.399265386703167","17.399265386703167","26.705718417877847","26.705718417877847","26.705718417877847","72.98846919282954","72.98846919282954","72.98846919282954"
"8","7.934939742595591","7.934939742595591","7.934939742595591","15.806390397092128","15.806390397092128","15.806390397092128","24.48973486068401","24.48973486068401","24.48973486068401","70.05747580020986","70.05747580020986","70.05747580020986"
"9","7.192437934875488","7.192437934875488","7.192437934875488","14.575250645901294","14.575250645901294","14.575250645901294","22.676472047034732","22.676472047034732","22.676472047034732","67.43711398510223","67.43711398510223","67.43711398510223"
"10","6.5986852747328735","6.5986852747328735","6.5986852747328735","13.575695654686461","13.575695654686461","13.575695654686461","21.17555531440897","21.17555531440897","21.17555531440897","65.13051763493964","65.13051763493964","65.13051763493964"
"11","6.035823653606658","6.035823653606658","6.035823653606658","12.7041537670379","12.7041537670379","12.7041537670379","19.936058624754562","19.936058624754562","19.936058624754562","63.03871644202699","63.03871644202699","63.03871644202699"
"12","5.599776333950936","5.599776333950936","5.599776333950936","11.9825205620299","11.9825205620299","11.9825205620299","18.889009974865203","18.889009974865203","18.889009974865203","61.138959803479786","61.138959803479786","61.138959803479786"
"13","5.523354358876005","5.523354358876005","5.523354358876005","11.864125619036086","11.864125619036086","11.864125619036086","18.69400195263802","18.69400195263802","18.69400195263802","60.66000431141955","60.66000431141955","60.66000431141955"
"14","5.480082725971303","5.480082725971303","5.480082725971303","11.840730650881504","11.840730650881504","11.840730650881504","18.621791241016794","18.621791241016794","18.621791241016794","60.37682384734458","60.37682384734458","60.37682384734458"
"15","5.492517948150635","5.492517948150635","5.492517948150635","11.826449367847848","11.826449367847848","11.826449367847848","18.548537023016745","18.548537023016745","18.548537023016745","59.98683610469737","59.98683610469737","59.98683610469737"
"16","5.469370549790403","5.469370549790403","5.469370549790403","11.792853931670493","11.792853931670493","11.792853931670493","18.47121400021492","18.47121400021492","18.47121400021492","59.66800782223965","59.66800782223965","59.66800782223965"
"17","5.486652873424774","5.486652873424774","5.486652873424774","11.805671087224432","11.805671087224432","11.805671087224432","18.48059918221007","18.48059918221007","18.48059918221007","59.46376478316936","59.46376478316936","59.46376478316936"
"18","5.477522451319593","5.477522451319593","5.477522451319593","11.745163150543862","11.745163150543862","11.745163150543862","18.394738110075604","18.394738110075604","18.394738110075604","59.1393824070058","59.1393824070058","59.1393824070058"
"19","5.504801290593249","5.504801290593249","5.504801290593249","11.778244180882231","11.778244180882231","11.778244180882231","18.389331164258593","18.389331164258593","18.389331164258593","58.87005303565492","58.87005303565492","58.87005303565492"
"20","5.524853147344387","5.524853147344387","5.524853147344387","11.77141967935765","11.77141967935765","11.77141967935765","18.33231358223773","18.33231358223773","18.33231358223773","58.63566582862367","58.63566582862367","58.63566582862367"
"21","5.507933246328475","5.507933246328475","5.507933246328475","11.760506960686216","11.760506960686216","11.760506960686216","18.349301056151695","18.349301056151695","18.349301056151695","58.44604074194076","58.44604074194076","58.44604074194076"
"22","5.540286294450151","5.540286294450151","5.540286294450151","11.777679315526434","11.777679315526434","11.777679315526434","18.33632631504789","18.33632631504789","18.33632631504789","58.25027906539592","58.25027906539592","58.25027906539592"
"23","5.5397182413872255","5.5397182413872255","5.5397182413872255","11.751245756352201","11.751245756352201","11.751245756352201","18.317961481784252","18.317961481784252","18.317961481784252","58.08438262127815","58.08438262127815","58.08438262127815"
"24","5.545528488970818","5.545528488970818","5.545528488970818","11.805253116120683","11.805253116120683","11.805253116120683","18.27860502283624","18.27860502283624","18.27860502283624","57.83731781168187","57.83731781168187","57.83731781168187"
"25","5.5529367162826215","5.5529367162826215","5.5529367162826215","11.763834900551654","11.763834900551654","11.763834900551654","18.27005463458122","18.27005463458122","18.27005463458122","57.701336410197804","57.701336410197804","57.701336410197804"
"26","5.570351169464436","5.570351169464436","5.570351169464436","11.753679527120386","11.753679527120386","11.753679527120386","18.255163188690833","18.255163188690833","18.255163188690833","57.57927367027769","57.57927367027769","57.57927367027769"
"27","5.551409598614307","5.551409598614307","5.551409598614307","11.782185718861031","11.782185718861031","11.782185718861031","18.244820505507448","18.244820505507448","18.244820505507448","57.394226366408326","57.394226366408326","57.394226366408326"
"28","5.590844788449876","5.590844788449876","5.590844788449876","11.782689571380615","11.782689571380615","11.782689571380615","18.197877601867027","18.197877601867027","18.197877601867027","57.330919509238385","57.330919509238385","57.330919509238385"
"29","5.615016666371772","5.615016666371772","5.615016666371772","11.781979589259372","11.781979589259372","11.781979589259372","18.236060982562126","18.236060982562126","18.236060982562126","57.222222413408","57.222222413408","57.222222413408"
"30","5.588072601277777","5.588072601277777","5.588072601277777","11.742547721051155","11.742547721051155","11.742547721051155","18.22453425995847","18.22453425995847","18.22453425995847","57.093360137939456","57.093360137939456","57.093360137939456"
"31","5.6330744601310565","5.6330744601310565","5.6330744601310565","11.793807177848004","11.793807177848004","11.793807177848004","18.209723184463826","18.209723184463826","18.209723184463826","57.04269439210283","57.04269439210283","57.04269439210283"
"32","5.605002198320754","5.605002198320754","5.605002198320754","11.732968971577096","11.732968971577096","11.732968971577096","18.235858377497248","18.235858377497248","18.235858377497248","56.99311065673828","56.99311065673828","56.99311065673828"
"33","5.63946982748965","5.63946982748965","5.63946982748965","11.762212436757189","11.762212436757189","11.762212436757189","18.18942845527162","18.18942845527162","18.18942845527162","56.880633715365796","56.880633715365796","56.880633715365796"
"34","5.642612739319497","5.642612739319497","5.642612739319497","11.769797984589921","11.769797984589921","11.769797984589921","18.160699255923006","18.160699255923006","18.160699255923006","56.83737146905128","56.83737146905128","56.83737146905128"
"35","5.619928227079676","5.619928227079676","5.619928227079676","11.762689215071658","11.762689215071658","11.762689215071658","18.191574096679688","18.191574096679688","18.191574096679688","56.75372144009204","56.75372144009204","56.75372144009204"
"36","5.628363834543431","5.628363834543431","5.628363834543431","11.758112783634916","11.758112783634916","11.758112783634916","18.149853460839456","18.149853460839456","18.149853460839456","56.72430376093438","56.72430376093438","56.72430376093438"
"37","5.6624348711460195","5.6624348711460195","5.6624348711460195","11.776292297687936","11.776292297687936","11.776292297687936","18.18451461183264","18.18451461183264","18.18451461183264","56.652778146622026","56.652778146622026","56.652778146622026"
