"Step","clear-butterfly-13 - loss","clear-butterfly-13 - loss__MIN","clear-butterfly-13 - loss__MAX","ruby-dream-12 - loss","ruby-dream-12 - loss__MIN","ruby-dream-12 - loss__MAX","fanciful-haze-11 - loss","fanciful-haze-11 - loss__MIN","fanciful-haze-11 - loss__MAX","eager-dream-10 - loss","eager-dream-10 - loss__MIN","eager-dream-10 - loss__MAX"
"0","1196.7938142817072","1196.7938142817072","1196.7938142817072","1216.0231214158077","1216.0231214158077","1216.0231214158077","1205.1244212049119","1205.1244212049119","1205.1244212049119","1214.374001231092","1214.374001231092","1214.374001231092"
"1","1158.6595201857547","1158.6595201857547","1158.6595201857547","1145.9122240431766","1145.9122240431766","1145.9122240431766","1141.5986159304355","1141.5986159304355","1141.5986159304355","1137.264388713431","1137.264388713431","1137.264388713431"
"2","1158.7502099869098","1158.7502099869098","1158.7502099869098","1144.9466663117105","1144.9466663117105","1144.9466663117105","1138.713581361162","1138.713581361162","1138.713581361162","1129.2982746530085","1129.2982746530085","1129.2982746530085"
"3","1162.2426327969165","1162.2426327969165","1162.2426327969165","1147.7867306973071","1147.7867306973071","1147.7867306973071","1138.9425470879737","1138.9425470879737","1138.9425470879737","1126.0282778476146","1126.0282778476146","1126.0282778476146"
"4","1166.4853092274768","1166.4853092274768","1166.4853092274768","1150.6064259630568","1150.6064259630568","1150.6064259630568","1140.9042949270695","1140.9042949270695","1140.9042949270695","1124.8465395663648","1124.8465395663648","1124.8465395663648"
"5","1170.7248527364527","1170.7248527364527","1170.7248527364527","1153.1799272253159","1153.1799272253159","1153.1799272253159","1142.3957324738199","1142.3957324738199","1142.3957324738199","1124.5705974173038","1124.5705974173038","1124.5705974173038"
"6","1174.4719294121926","1174.4719294121926","1174.4719294121926","1155.4923285301695","1155.4923285301695","1155.4923285301695","1144.196311268908","1144.196311268908","1144.196311268908","1124.5724244462683","1124.5724244462683","1124.5724244462683"
"7","1178.0674374844166","1178.0674374844166","1178.0674374844166","1157.7330463815242","1157.7330463815242","1157.7330463815242","1145.73674874813","1145.73674874813","1145.73674874813","1124.711880687957","1124.711880687957","1124.711880687957"
"8","1181.1639039384559","1181.1639039384559","1181.1639039384559","1159.7765082176695","1159.7765082176695","1159.7765082176695","1146.9712682845745","1146.9712682845745","1146.9712682845745","1124.8843978557181","1124.8843978557181","1124.8843978557181"
"9","1184.0557852237782","1184.0557852237782","1184.0557852237782","1161.8720599235373","1161.8720599235373","1161.8720599235373","1148.5611303451215","1148.5611303451215","1148.5611303451215","1125.0506255454206","1125.0506255454206","1125.0506255454206"
"10","1186.9324865462931","1186.9324865462931","1186.9324865462931","1163.8706628677692","1163.8706628677692","1163.8706628677692","1149.818119130236","1149.818119130236","1149.818119130236","1125.2938346700466","1125.2938346700466","1125.2938346700466"
