"Step","clear-butterfly-13 - recon_loss","clear-butterfly-13 - recon_loss__MIN","clear-butterfly-13 - recon_loss__MAX","ruby-dream-12 - recon_loss","ruby-dream-12 - recon_loss__MIN","ruby-dream-12 - recon_loss__MAX","fanciful-haze-11 - recon_loss","fanciful-haze-11 - recon_loss__MIN","fanciful-haze-11 - recon_loss__MAX","eager-dream-10 - recon_loss","eager-dream-10 - recon_loss__MIN","eager-dream-10 - recon_loss__MAX"
"0","1196.7938142817072","1196.7938142817072","1196.7938142817072","1216.0231214158077","1216.0231214158077","1216.0231214158077","1205.1244212049119","1205.1244212049119","1205.1244212049119","1214.374001231092","1214.374001231092","1214.374001231092"
"1","1143.975725019739","1143.975725019739","1143.975725019739","1136.5075144666307","1136.5075144666307","1136.5075144666307","1135.6014770507813","1135.6014770507813","1135.6014770507813","1136.2827136749918","1136.2827136749918","1136.2827136749918"
"2","1141.6769185816988","1141.6769185816988","1141.6769185816988","1132.264952574385","1132.264952574385","1132.264952574385","1129.8602865016207","1129.8602865016207","1129.8602865016207","1127.6174321600731","1127.6174321600731","1127.6174321600731"
"3","1142.7234954184673","1142.7234954184673","1142.7234954184673","1132.4923994348405","1132.4923994348405","1132.4923994348405","1127.9694760586353","1127.9694760586353","1127.9694760586353","1123.708330259932","1123.708330259932","1123.708330259932"
"4","1144.8249632490442","1144.8249632490442","1144.8249632490442","1133.555847947141","1133.555847947141","1133.555847947141","1128.2512492727726","1128.2512492727726","1128.2512492727726","1121.9775758134558","1121.9775758134558","1121.9775758134558"
"5","1147.3573061679272","1147.3573061679272","1147.3573061679272","1134.896619431516","1134.896619431516","1134.896619431516","1128.5731993330287","1128.5731993330287","1128.5731993330287","1121.208285717254","1121.208285717254","1121.208285717254"
"6","1149.8463968479887","1149.8463968479887","1149.8463968479887","1136.1213478900017","1136.1213478900017","1136.1213478900017","1129.4622120958693","1129.4622120958693","1129.4622120958693","1120.7461334877826","1120.7461334877826","1120.7461334877826"
"7","1152.3786795108877","1152.3786795108877","1152.3786795108877","1137.4339021723322","1137.4339021723322","1137.4339021723322","1130.1584125924617","1130.1584125924617","1130.1584125924617","1120.4542201265376","1120.4542201265376","1120.4542201265376"
"8","1154.7141050947473","1154.7141050947473","1154.7141050947473","1138.7013197878573","1138.7013197878573","1138.7013197878573","1130.6447779878656","1130.6447779878656","1130.6447779878656","1120.213900951629","1120.213900951629","1120.213900951629"
"9","1157.0841431962683","1157.0841431962683","1157.0841431962683","1140.0091843625332","1140.0091843625332","1140.0091843625332","1131.5537769074135","1131.5537769074135","1131.5537769074135","1119.9928421345162","1119.9928421345162","1119.9928421345162"
"10","1159.4379637373254","1159.4379637373254","1159.4379637373254","1141.2445051477312","1141.2445051477312","1141.2445051477312","1132.1718231850482","1132.1718231850482","1132.1718231850482","1119.8662918415475","1119.8662918415475","1119.8662918415475"
"11","1161.532346035572","1161.532346035572","1161.532346035572","1142.270488203333","1142.270488203333","1142.270488203333","1132.8358834773935","1132.8358834773935","1132.8358834773935","1119.778959363572","1119.778959363572","1119.778959363572"
"12","1163.243107312791","1163.243107312791","1163.243107312791","1143.3859951587433","1143.3859951587433","1143.3859951587433","1133.7687070156665","1133.7687070156665","1133.7687070156665","1119.5889965300864","1119.5889965300864","1119.5889965300864"
"13","1163.4844285031581","1163.4844285031581","1163.4844285031581","1143.2697511064246","1143.2697511064246","1143.2697511064246","1133.428898977726","1133.428898977726","1133.428898977726","1119.5022707675366","1119.5022707675366","1119.5022707675366"
